         y    <dsig|+1,0>         err[1]    <dsig|+2,0>         err[2]      <ALL|0,0>         err[3]     <ALL|+1,0>         err[4]   <dsig|0,+1>          err[5]   <dsig|+1,-1>         err[6]    dsig|+1,+1>         err[7]  <dsig|+2,+1>          err[8]  <dsig|+2,-1>          err[9]     <ALL|0,+1>        err[10]    <ALL|+1,-1>        err[11]    <ALL|+1,+1>        err[12]           AUzi        err[13]        AUcfqzi        err[14]       AUc2fqzi        err[15]           ALzi        err[16]        ALcfqzi        err[17]       BUcf12zi        err[18]    BUcfqmf12zi        err[19]    BUcfqpf12zi        err[20]   BUc2fqmf12zi        err[21]   BUc2fqpf12zi        err[22]       BLcf12zi        err[23]    BLcfqmf12zi        err[24]    BLcfqpf12zi        err[25]        time[s]     neval      fail
     0.032            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19       0.184728   1000000         0
     0.033            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19       0.182406   1000000         0
     0.034            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19       0.177801   1000000         0
     0.035            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19       0.178105   1000000         0
     0.036            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19       0.177601   1000000         0
     0.037            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19       0.177867   1000000         0
     0.038            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19       0.178032   1000000         0
     0.039            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19       0.179203   1000000         0
      0.04            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19       0.179955   1000000         0
     0.041            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19       0.178914   1000000         0
