        Q2    <dsig|+1,0>         err[1]    <dsig|+2,0>         err[2]      <ALL|0,0>         err[3]     <ALL|+1,0>         err[4]   <dsig|0,+1>          err[5]   <dsig|+1,-1>         err[6]    dsig|+1,+1>         err[7]  <dsig|+2,+1>          err[8]  <dsig|+2,-1>          err[9]     <ALL|0,+1>        err[10]    <ALL|+1,-1>        err[11]    <ALL|+1,+1>        err[12]           AUzi        err[13]        AUcfqzi        err[14]       AUc2fqzi        err[15]           ALzi        err[16]        ALcfqzi        err[17]       BUcf12zi        err[18]    BUcfqmf12zi        err[19]    BUcfqpf12zi        err[20]   BUc2fqmf12zi        err[21]   BUc2fqpf12zi        err[22]       BLcf12zi        err[23]    BLcfqmf12zi        err[24]    BLcfqpf12zi        err[25]        time[s]     neval      fail
    178.28      0.0748248    6.63367e-05        0.15137    8.17241e-05      -0.066101    3.69258e-05     -0.0205991    8.59109e-06    -0.00237868    6.74147e-06    -0.00470903    6.66266e-06     0.00470903    6.66266e-06      0.0163132    8.09675e-06      0.0163132    8.09675e-06    -0.00153759    8.89111e-07     0.00182595     7.5651e-07    -0.00182595     7.5651e-07        11519.2        3.53207        430.959       0.358492        1743.66       0.774834       -761.428        0.35555       -118.642      0.0335404       -27.4004      0.0772002        -54.244      0.0749243         54.244      0.0749243        187.914      0.0733409        187.914      0.0733409       -17.7117     0.00868332        21.0334     0.00586049       -21.0334     0.00586049        16.0835  10000000         1
   186.694      0.0708425    6.21656e-05       0.150474    7.34824e-05     -0.0668415    3.62693e-05     -0.0213462    8.09449e-06    -0.00228194    6.28335e-06    -0.00432562    6.29279e-06     0.00432562    6.29279e-06      0.0163818    7.31343e-06      0.0163818    7.31343e-06    -0.00153611    8.67755e-07     0.00188695     7.0788e-07    -0.00188695     7.0788e-07        10943.1        3.01645        387.618       0.322924        1646.65       0.663774       -731.452       0.341872       -116.796      0.0304145       -24.9715      0.0684139       -47.3357      0.0676151        47.3357      0.0676151        179.268      0.0629541        179.268      0.0629541       -16.8098     0.00828868         20.649     0.00525445        -20.649     0.00525445        16.3564  10000000         1
   195.108      0.0671196    6.21111e-05       0.149618    7.22132e-05     -0.0676374    3.68906e-05     -0.0220974     8.3164e-06    -0.00217977    6.21719e-06    -0.00397072    6.29763e-06     0.00397072    6.29763e-06      0.0164474    7.26781e-06      0.0164474    7.26781e-06    -0.00153592    8.81576e-07     0.00194798    7.24741e-07    -0.00194798    7.24741e-07        10392.7        2.83546        348.777       0.308404        1554.94       0.619079       -702.935       0.331979       -114.826      0.0297671       -22.6537      0.0643171       -41.2665      0.0644738        41.2665      0.0644738        170.933      0.0594156        170.933      0.0594156       -15.9624     0.00806072        20.2448     0.00512085       -20.2448     0.00512085        16.6494  10000000         1
   203.522      0.0635833    6.31223e-05        0.14877    7.32466e-05     -0.0684314     3.8108e-05     -0.0228446     8.8159e-06    -0.00207359     6.3071e-06    -0.00363748    6.39311e-06     0.00363748    6.39311e-06      0.0165059    7.47445e-06      0.0165059    7.47445e-06    -0.00153572    9.09572e-07     0.00200852     7.6679e-07    -0.00200852     7.6679e-07        9876.79         2.7673        313.999        0.29905        1469.37       0.594876       -675.882       0.325275       -112.816      0.0299381       -20.4804       0.062029       -35.9266       0.062336        35.9266       0.062336        163.025      0.0579961        163.025      0.0579961        -15.168     0.00791488        19.8377     0.00514428       -19.8377     0.00514428        20.6262  10000000         1
   211.936      0.0601721    6.56644e-05       0.147894    7.48124e-05     -0.0691831    3.96497e-05     -0.0235809    9.36007e-06    -0.00196338    6.46141e-06    -0.00332139    6.66188e-06     0.00332139    6.66188e-06      0.0165568    7.70417e-06      0.0165568    7.70417e-06    -0.00153432     9.5053e-07     0.00206816    8.11539e-07    -0.00206816    8.11539e-07         9389.7        2.69643        282.499       0.297419        1388.68       0.578299       -649.609        0.32219       -110.709      0.0303373       -18.4356      0.0604393       -31.1869      0.0619086        31.1869      0.0619086        155.463      0.0569205        155.463      0.0569205       -14.4068     0.00790841        19.4194     0.00519298       -19.4194     0.00519298        27.4835  10000000         1
    220.35      0.0569527    6.80885e-05       0.147055    7.90126e-05      -0.069901    4.13479e-05     -0.0243212    1.02413e-05     -0.0018497    6.63969e-06    -0.00302458     6.9175e-06     0.00302458     6.9175e-06      0.0166065    8.22753e-06      0.0166065    8.22753e-06    -0.00153274    9.91186e-07     0.00212782    8.88713e-07    -0.00212782    8.88713e-07        8952.18        2.75208        254.925       0.294522        1316.46       0.580116       -625.766       0.316238       -108.864      0.0313265       -16.5589      0.0592213       -27.0766      0.0613647        27.0766      0.0613647        148.665      0.0577602        148.665      0.0577602       -13.7214     0.00780651        19.0486     0.00538559       -19.0486     0.00538559        16.8225  10000000         1
   228.764      0.0537638     6.7277e-05       0.146175    7.97578e-05     -0.0704472    4.19485e-05     -0.0250495    1.07392e-05    -0.00173596    6.67349e-06    -0.00273921    6.79002e-06     0.00273921    6.79002e-06      0.0166473    8.40439e-06      0.0166473    8.40439e-06    -0.00152763    9.97936e-07     0.00218662    9.30627e-07    -0.00218662    9.30627e-07        8552.87        2.67223        229.917       0.278594        1250.21       0.559251       -602.525       0.305425       -107.122      0.0314482       -14.8474      0.0568886       -23.4281       0.057611        23.4281       0.057611        142.382      0.0564625        142.382      0.0564625       -13.0657      0.0074957        18.7018     0.00540479       -18.7018     0.00540479         16.117  10000000         1
   237.178      0.0507648    6.88626e-05       0.145349    8.14067e-05     -0.0710131    4.36069e-05     -0.0257622    1.14677e-05    -0.00161925    6.86184e-06    -0.00247059    6.96413e-06     0.00247059    6.96413e-06      0.0166862     8.6912e-06      0.0166862     8.6912e-06    -0.00152282    1.04009e-06     0.00224422    9.90866e-07    -0.00224422    9.90866e-07        8174.01        2.64539        207.476       0.273315        1188.09       0.543083       -580.462       0.302922        -105.29      0.0321798       -13.2357      0.0559249       -20.1947      0.0565485        20.1947      0.0565485        136.393      0.0556641        136.393      0.0556641       -12.4475     0.00748674        18.3443     0.00550941       -18.3443     0.00550941        15.9467  10000000         1
   245.592      0.0479406    6.41387e-05       0.144534    6.96702e-05     -0.0716167    4.20192e-05     -0.0264729    1.02411e-05    -0.00150097    6.17871e-06     -0.0022187    6.46839e-06      0.0022187    6.46839e-06      0.0167183    7.50258e-06      0.0167183    7.50258e-06    -0.00151916    9.97977e-07      0.0023014    8.78724e-07     -0.0023014    8.78724e-07        7810.21        2.16592        187.213       0.245028        1128.84        0.44507       -559.341       0.289206       -103.379      0.0278835       -11.7229      0.0481474       -17.3285      0.0502904        17.3285      0.0502904        130.574      0.0460692        130.574      0.0460692       -11.8649     0.00706586        17.9744     0.00471744       -17.9744     0.00471744         16.111  10000000         1
   254.006      0.0451696    6.63163e-05       0.143698    7.14369e-05      -0.072185    4.31882e-05     -0.0271916    1.07631e-05    -0.00138444    6.24162e-06    -0.00197548    6.68899e-06     0.00197548    6.68899e-06      0.0167496    7.72477e-06      0.0167496    7.72477e-06    -0.00151443    1.02738e-06     0.00235901    9.23304e-07    -0.00235901    9.23304e-07        7467.61        2.12888        168.655       0.242899        1073.08       0.437033       -539.049       0.283547       -101.528      0.0278797       -10.3384      0.0465167       -14.7521      0.0497734        14.7521      0.0497734         125.08      0.0453446         125.08      0.0453446       -11.3092     0.00696173        17.6162     0.00472422       -17.6162     0.00472422        21.3975  10000000         1
