         y    <dsig|+1,0>         err[1]    <dsig|+2,0>         err[2]      <ALL|0,0>         err[3]     <ALL|+1,0>         err[4]   <dsig|0,+1>          err[5]   <dsig|+1,-1>         err[6]    dsig|+1,+1>         err[7]  <dsig|+2,+1>          err[8]  <dsig|+2,-1>          err[9]     <ALL|0,+1>        err[10]    <ALL|+1,-1>        err[11]    <ALL|+1,+1>        err[12]        time[s]     neval      fail
      0.49       0.158061    0.000263916       0.118884     0.00022189     -0.0541378    8.75425e-05     -0.0112148    1.96786e-05      0.0278663    6.76984e-05      -0.042979      7.918e-05       0.042979      7.918e-05      0.0281885    4.71017e-05      0.0281885    4.71017e-05    -0.00403377    6.24901e-06     0.00270074    4.50965e-06    -0.00270074    4.50965e-06       0.343981   1000000         1
       0.5          0.157    0.000263187       0.117646    0.000220335     -0.0548505    8.88884e-05     -0.0112905    1.98316e-05       0.028655    6.81928e-05     -0.0426764    7.89859e-05      0.0426764    7.89859e-05        0.02792    4.67855e-05        0.02792    4.67855e-05    -0.00407239    6.32429e-06     0.00271609    4.54167e-06    -0.00271609    4.54167e-06       0.348233   1000000         1
      0.51       0.155937    0.000261261       0.116372    0.000217194     -0.0555725    8.98686e-05     -0.0113634    1.99594e-05      0.0294691    6.83822e-05     -0.0423649    7.81436e-05      0.0423649    7.81436e-05       0.027644    4.62321e-05       0.027644    4.62321e-05    -0.00411154    6.37724e-06     0.00273078    4.56554e-06    -0.00273078    4.56554e-06       0.343272   1000000         1
      0.52       0.154817    0.000261818       0.115075    0.000215915     -0.0562785    9.18154e-05     -0.0114321     2.0237e-05      0.0303081    6.93145e-05     -0.0420499      7.813e-05      0.0420499      7.813e-05      0.0273587     4.6073e-05      0.0273587     4.6073e-05     -0.0041494    6.50229e-06     0.00274456    4.62434e-06    -0.00274456    4.62434e-06       0.348648   1000000         1
      0.53       0.153684    0.000260241       0.113728    0.000214644      -0.056984    9.29295e-05     -0.0114979     2.0387e-05      0.0311771    6.94698e-05     -0.0417222    7.78835e-05      0.0417222    7.78835e-05      0.0270636    4.57447e-05      0.0270636    4.57447e-05    -0.00418729    6.56593e-06     0.00275766    4.65498e-06    -0.00275766    4.65498e-06       0.455406   1000000         1
      0.54       0.152512    0.000257126        0.11236     0.00021096     -0.0576834     9.3645e-05     -0.0115583    2.04191e-05        0.03207    6.92345e-05     -0.0413917    7.66123e-05      0.0413917    7.66123e-05      0.0267598    4.50514e-05      0.0267598    4.50514e-05    -0.00422482    6.59656e-06     0.00276953    4.65737e-06    -0.00276953    4.65737e-06       0.349007   1000000         1
      0.55       0.151317    0.000257662       0.110956    0.000210038     -0.0583842    9.55958e-05     -0.0116138    2.06865e-05      0.0329905    7.04676e-05     -0.0410508    7.68393e-05      0.0410508    7.68393e-05      0.0264468    4.48823e-05      0.0264468    4.48823e-05    -0.00426248    6.72197e-06      0.0027803    4.71588e-06     -0.0027803    4.71588e-06       0.342017   1000000         1
      0.56       0.150067    0.000255372       0.109521    0.000207087     -0.0590707    9.66342e-05     -0.0116664    2.07807e-05      0.0339359    7.06859e-05     -0.0406994    7.59616e-05      0.0406994    7.59616e-05      0.0261246    4.43188e-05      0.0261246    4.43188e-05    -0.00429904    6.77915e-06     0.00279041    4.73301e-06    -0.00279041    4.73301e-06        0.34183   1000000         1
      0.57       0.148801    0.000255624       0.108037    0.000206281     -0.0597607     9.8557e-05     -0.0117148    2.10072e-05      0.0349112    7.19452e-05     -0.0403356    7.61374e-05      0.0403356    7.61374e-05      0.0257922    4.41459e-05      0.0257922    4.41459e-05    -0.00433572    6.89952e-06     0.00279957    4.78282e-06    -0.00279957    4.78282e-06        0.34369   1000000         1
      0.58       0.147499    0.000254863       0.106518    0.000203975     -0.0604521    0.000100132     -0.0117586    2.11549e-05      0.0359153    7.31671e-05     -0.0399666    7.59241e-05      0.0399666    7.59241e-05      0.0254499    4.36936e-05      0.0254499    4.36936e-05     -0.0043728    6.99236e-06     0.00280759    4.81238e-06    -0.00280759    4.81238e-06       0.342645   1000000         1
