        xB    <dsig|+1,0>         err[1]    <dsig|+2,0>         err[2]      <ALL|0,0>         err[3]     <ALL|+1,0>         err[4]   <dsig|0,+1>          err[5]   <dsig|+1,-1>         err[6]   <dsig|+1,+1>         err[7]  <dsig|+2,+1>          err[8]  <dsig|+2,-1>          err[9]     <ALL|0,+1>        err[10]    <ALL|+1,-1>        err[11]    <ALL|+1,+1>        err[12]           AUzi        err[13]        AUcfqzi        err[14]       AUc2fqzi        err[15]           ALzi        err[16]        ALcfqzi        err[17]       BUcf12zi        err[18]    BUcfqmf12zi        err[19]    BUcfqpf12zi        err[20]   BUc2fqmf12zi        err[21]   BUc2fqpf12zi        err[22]       BLcf12zi        err[23]    BLcfqmf12zi        err[24]    BLcfqpf12zi        err[25]        time[s]     neval      fail
      0.02       0.190549    6.95892e-05       0.142522    6.56193e-05     -0.0400426     1.3861e-05      -0.007359    2.16371e-06      0.0152187    1.71321e-05      -0.052996    2.09495e-05       0.052996    2.09495e-05      0.0309126    1.21157e-05      0.0309126    1.21157e-05    -0.00331044    1.05514e-06     0.00187537    5.49869e-07    -0.00187537    5.49869e-07        1.46301    0.000328015       0.139388    4.01828e-05       0.208512    8.38503e-05     -0.0585829    1.54503e-05    -0.00538316    1.02395e-06      0.0222651    2.45624e-05     -0.0775339    2.52429e-05      0.0775339    2.52429e-05      0.0452255    1.45387e-05      0.0452255    1.45387e-05    -0.00484322     1.0972e-06      0.0027437    5.18416e-07     -0.0027437    5.18416e-07        3.17002  10000000         1
     0.021       0.189113    6.93681e-05       0.144772    6.56122e-05     -0.0402639    1.40027e-05    -0.00759026    2.23803e-06      0.0131823    1.67988e-05     -0.0522353    2.07236e-05      0.0522353    2.07236e-05      0.0315683    1.22182e-05      0.0315683    1.22182e-05     -0.0033096    1.06183e-06     0.00192988    5.64959e-07    -0.00192988    5.64959e-07        1.35633    0.000300872        0.12825    3.74656e-05       0.196358     7.7603e-05      -0.054611     1.4627e-05    -0.00514744    9.99875e-07      0.0178795    2.24369e-05     -0.0708483    2.33036e-05      0.0708483    2.33036e-05      0.0428169    1.35799e-05      0.0428169    1.35799e-05    -0.00448891    1.04048e-06     0.00261755    5.00019e-07    -0.00261755    5.00019e-07        3.20994  10000000         1
     0.022         0.1876    6.90798e-05        0.14688    6.52813e-05     -0.0404812    1.41475e-05    -0.00781985    2.31186e-06      0.0112685    1.64017e-05     -0.0514664     2.0484e-05      0.0514664     2.0484e-05      0.0321955    1.22639e-05      0.0321955    1.22639e-05    -0.00330867    1.06784e-06     0.00198387      5.798e-07    -0.00198387      5.798e-07        1.26075    0.000275752       0.118259    3.50323e-05        0.18518    7.16482e-05     -0.0510369    1.39117e-05    -0.00492946    9.80518e-07      0.0142068    2.04437e-05     -0.0648866    2.15763e-05      0.0648866    2.15763e-05      0.0405906     1.2659e-05      0.0405906     1.2659e-05    -0.00417142    9.89987e-07     0.00250118     4.8484e-07    -0.00250118     4.8484e-07         3.2626  10000000         1
     0.023       0.186022    7.17874e-05       0.148855    6.67572e-05     -0.0406956    1.46362e-05    -0.00804813    2.47751e-06     0.00946793     1.6309e-05     -0.0506928    2.11481e-05      0.0506928    2.11481e-05      0.0327961    1.27246e-05      0.0327961    1.27246e-05    -0.00330771    1.10778e-06     0.00203742    6.18459e-07    -0.00203742    6.18459e-07        1.17474    0.000266771       0.109264    3.40922e-05       0.174866    6.76251e-05     -0.0478067    1.33327e-05    -0.00472723    9.82465e-07      0.0111223    1.89916e-05     -0.0595508    2.08403e-05      0.0595508    2.08403e-05      0.0385269    1.21202e-05      0.0385269    1.21202e-05    -0.00388569      9.565e-07     0.00239344    4.82105e-07    -0.00239344    4.82105e-07        3.28428  10000000         1
     0.024       0.184388     7.3879e-05       0.150709    6.76275e-05     -0.0409068    1.51103e-05    -0.00827526    2.64328e-06     0.00777177    1.60876e-05     -0.0499154     2.1583e-05      0.0499154     2.1583e-05      0.0333722    1.30895e-05      0.0333722    1.30895e-05    -0.00330665    1.14558e-06     0.00209058    6.56237e-07    -0.00209058    6.56237e-07        1.09702    0.000255061       0.101139    3.30028e-05       0.165331    6.34535e-05     -0.0448756    1.28807e-05    -0.00453907    9.94155e-07      0.0085258    1.75367e-05     -0.0547583    1.99627e-05      0.0547583    1.99627e-05      0.0366101    1.15647e-05      0.0366101    1.15647e-05    -0.00362746     9.3169e-07     0.00229341    4.83668e-07    -0.00229341    4.83668e-07        3.22152  10000000         1
     0.025       0.182706     7.6924e-05       0.152452    6.90218e-05     -0.0411142    1.57379e-05    -0.00850131    2.85674e-06     0.00617196    1.58825e-05     -0.0491367    2.22674e-05      0.0491367    2.22674e-05      0.0339255    1.36052e-05      0.0339255    1.36052e-05    -0.00330546    1.19755e-06     0.00214338    7.05901e-07    -0.00214338    7.05901e-07        1.02656    0.000247674       0.093779    3.23576e-05         0.1565    5.99559e-05     -0.0422061    1.25427e-05    -0.00436354    1.02063e-06     0.00633586    1.62325e-05     -0.0504416    1.93498e-05      0.0504416    1.93498e-05      0.0348265    1.11562e-05      0.0348265    1.11562e-05    -0.00339324    9.17097e-07      0.0022003    4.93255e-07     -0.0022003    4.93255e-07        3.12461  10000000         1
     0.026       0.180982    8.09349e-05        0.15409     7.0977e-05     -0.0413191    1.65289e-05    -0.00872661    3.12089e-06     0.00466126    1.56564e-05     -0.0483582     2.3205e-05      0.0483582     2.3205e-05      0.0344576    1.42783e-05      0.0344576    1.42783e-05    -0.00330421    1.26164e-06     0.00219589    7.67443e-07    -0.00219589    7.67443e-07       0.962432    0.000243976      0.0870914    3.20852e-05       0.148301    5.70352e-05     -0.0397668    1.23061e-05    -0.00419938    1.05935e-06     0.00448615    1.50252e-05     -0.0465415    1.89625e-05      0.0465415    1.89625e-05      0.0331631    1.08704e-05      0.0331631    1.08704e-05    -0.00318008     9.0803e-07     0.00211339    5.08454e-07    -0.00211339    5.08454e-07        3.10892  10000000         1
     0.027       0.179222    8.67682e-05       0.155629    7.43399e-05     -0.0415209    1.75601e-05    -0.00895122    3.46746e-06     0.00323458    1.55317e-05     -0.0475803    2.46213e-05      0.0475803    2.46213e-05      0.0349695    1.53062e-05      0.0349695    1.53062e-05    -0.00330285    1.35063e-06     0.00224814    8.50416e-07    -0.00224814    8.50416e-07       0.903904    0.000246337          0.081     3.2412e-05       0.140674    5.51868e-05     -0.0375309    1.21378e-05    -0.00404552    1.11371e-06     0.00292375    1.40165e-05      -0.043008    1.89188e-05       0.043008    1.89188e-05      0.0316091    1.08264e-05      0.0316091    1.08264e-05    -0.00298546    9.10214e-07      0.0020321      5.331e-07     -0.0020321      5.331e-07        3.10852  10000000         1
     0.028       0.177432    9.32493e-05       0.157079    7.82987e-05     -0.0417198    1.87208e-05    -0.00917528    3.85899e-06     0.00188508    1.53907e-05     -0.0468046    2.61769e-05      0.0468046    2.61769e-05      0.0354628    1.64956e-05      0.0354628    1.64956e-05    -0.00330136    1.44906e-06     0.00230017    9.44487e-07    -0.00230017    9.44487e-07       0.850328    0.000249999      0.0754375    3.28622e-05       0.133568    5.37657e-05     -0.0354755     1.2026e-05      -0.003901    1.17325e-06     0.00160293    1.30787e-05     -0.0397993    1.89353e-05      0.0397993    1.89353e-05       0.030155    1.08696e-05       0.030155    1.08696e-05    -0.00280724    9.14915e-07      0.0019559    5.60657e-07     -0.0019559    5.60657e-07        3.11519  10000000         1
     0.029       0.175617    9.87584e-05       0.158441    8.17587e-05     -0.0419167    1.97516e-05    -0.00939905    4.20836e-06    0.000608508    1.53024e-05     -0.0460324    2.74813e-05      0.0460324    2.74813e-05      0.0359384    1.75312e-05      0.0359384    1.75312e-05    -0.00329984    1.53485e-06     0.00235202    1.02782e-06    -0.00235202    1.02782e-06       0.801136    0.000250217      0.0703464    3.28971e-05       0.126933    5.21394e-05      -0.033581    1.18484e-05    -0.00376496    1.20787e-06    0.000487498    1.22584e-05     -0.0368782     1.8763e-05      0.0368782     1.8763e-05      0.0287916    1.07886e-05      0.0287916    1.07886e-05    -0.00264362    9.11172e-07     0.00188429    5.75916e-07    -0.00188429    5.75916e-07         3.1427  10000000         1
