z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_U,Collins_L,time[s],neval,fail
0.45,0.0439561,7.06866e-05,0.000571716,7.12224e-07,-0.027364,4.40045e-05,-0.00035591,4.4338e-07,0.156986,0.000252452,0.00204184,2.54366e-06,0.28,-0.174308,51.0608,10000000,0
0.5,0.044796,7.20373e-05,0.000582638,7.25831e-07,-0.030206,4.85748e-05,-0.000392874,4.89429e-07,0.156986,0.000252453,0.00204184,2.54366e-06,0.28535,-0.192412,51.3263,10000000,0
0.55,0.0456366,7.33891e-05,0.000593571,7.39451e-07,-0.0329376,5.29676e-05,-0.000428401,5.33689e-07,0.156986,0.000252453,0.00204184,2.54365e-06,0.290704,-0.209812,52.1289,10000000,0
0.6,0.0464704,7.473e-05,0.000604414,7.52961e-07,-0.03534,5.6831e-05,-0.000459648,5.72615e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.296016,-0.225115,51.7922,10000000,0
0.65,0.047233,7.59564e-05,0.000614332,7.65317e-07,-0.0371256,5.97025e-05,-0.000482871,6.01546e-07,0.156986,0.000252453,0.00204183,2.54365e-06,0.300874,-0.23649,51.8715,10000000,0
0.7,0.0478604,7.69652e-05,0.000622491,7.75481e-07,-0.0379851,6.10846e-05,-0.000494049,6.15472e-07,0.156986,0.000252453,0.00204182,2.54365e-06,0.30487,-0.241964,51.191,10000000,0
0.75,0.0483051,7.76804e-05,0.000628274,7.82686e-07,-0.0377279,6.0671e-05,-0.000490702,6.11303e-07,0.156986,0.000252453,0.00204182,2.54364e-06,0.307703,-0.240326,51.1661,10000000,0
0.8,0.0485598,7.80901e-05,0.000631585,7.86812e-07,-0.03637,5.84874e-05,-0.00047304,5.89301e-07,0.156986,0.000252453,0.00204181,2.54364e-06,0.309325,-0.231676,51.2252,10000000,0
0.1,0.0414034,6.65813e-05,0.000538547,6.70884e-07,-0.0103447,1.66355e-05,-0.000134557,1.67622e-07,0.156986,0.000252451,0.00204197,2.54374e-06,0.263739,-0.0658957,51.2674,10000000,0
0.15,0.0410988,6.60916e-05,0.000534574,6.65941e-07,-0.0110831,1.78228e-05,-0.000144158,1.79583e-07,0.156986,0.000252452,0.00204192,2.54371e-06,0.261799,-0.0705989,51.2891,10000000,0
0.2,0.041461,6.6674e-05,0.000539276,6.71804e-07,-0.0127814,2.05539e-05,-0.000166245,2.071e-07,0.156986,0.000252452,0.0020419,2.54369e-06,0.264106,-0.0814171,51.7208,10000000,0
0.25,0.042429,6.82309e-05,0.000551864,6.87487e-07,-0.0152437,2.45137e-05,-0.000198271,2.46997e-07,0.156986,0.000252452,0.00204188,2.54368e-06,0.270272,-0.0971023,51.7296,10000000,0
