z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.6,0.0384547,2.74055e-05,-0,-nan,-0.0173763,1.23835e-05,0,-nan,0.173972,0.000123985,-0,-nan,0.315884,0.259811,0.221039,-0.0998796,251.069,20000000,0
0.65,0.0395812,2.81865e-05,-0,-nan,-0.0171972,1.22465e-05,0,-nan,0.173974,0.00012389,-0,-nan,0.231447,0.185432,0.227512,-0.0988495,251.221,20000000,0
0.7,0.0407363,2.89793e-05,-0,-nan,-0.0162457,1.1557e-05,0,-nan,0.173976,0.000123765,-0,-nan,0.167703,0.130513,0.234148,-0.093379,249.739,20000000,0
0.75,0.0418217,2.97118e-05,-0,-nan,-0.0146034,1.03748e-05,0,-nan,0.17398,0.000123602,-0,-nan,0.117831,0.0890438,0.240382,-0.0839375,250.709,20000000,0
0.8,0.0427544,3.03222e-05,-0,-nan,-0.0124942,8.8611e-06,0,-nan,0.173984,0.000123393,-0,-nan,0.0780711,0.0574188,0.245737,-0.0718122,247.534,20000000,0
0.1,0.0423816,3.22826e-05,-0,-nan,0.000578032,4.40295e-07,-0,-nan,0.17398,0.000132523,-0,-nan,27.9005,26.1577,0.2436,0.0033224,249.769,20000000,0
0.15,0.0419021,3.20068e-05,-0,-nan,-0.000276139,2.10928e-07,0,-nan,0.174134,0.000133012,-0,-nan,13.4601,12.7186,0.240631,-0.00158578,251.008,20000000,0
0.2,0.042138,3.00279e-05,-0,-nan,-0.00167693,1.195e-06,0,-nan,0.173979,0.000123979,-0,-nan,7.5318,7.0952,0.242202,-0.00963872,248.634,20000000,0
0.25,0.0431585,3.0799e-05,-0,-nan,-0.00343137,2.44871e-06,0,-nan,0.17397,0.00012415,-0,-nan,4.54132,4.2214,0.24808,-0.0197239,253.467,20000000,0
0.3,0.0445349,3.17931e-05,-0,-nan,-0.00534264,3.81406e-06,0,-nan,0.173972,0.000124197,-0,-nan,2.86252,2.61228,0.255988,-0.0307097,249.449,20000000,0
0.35,0.0459081,3.27785e-05,-0,-nan,-0.00730552,5.21617e-06,0,-nan,0.173969,0.000124214,-0,-nan,1.85835,1.66446,0.263886,-0.0419932,247.091,20000000,0
0.4,0.047104,3.3633e-05,-0,-nan,-0.00930165,6.64152e-06,0,-nan,0.173967,0.000124215,-0,-nan,1.24093,1.09334,0.270764,-0.0534679,247.006,20000000,0
0.45,0.0481448,3.43731e-05,-0,-nan,-0.0113277,8.08745e-06,0,-nan,0.173967,0.000124204,-0,-nan,0.851501,0.739513,0.276747,-0.0651142,243.779,20000000,0
0.5,0.0491856,3.51062e-05,-0,-nan,-0.0132945,9.48893e-06,0,-nan,0.173967,0.000124169,-0,-nan,0.599567,0.513144,0.28273,-0.0764196,245.209,20000000,0
0.55,0.0503915,3.59552e-05,-0,-nan,-0.0149913,1.06966e-05,0,-nan,0.173968,0.000124129,-0,-nan,0.431962,0.363263,0.28966,-0.0861731,247.639,20000000,0
